name,g2015,w2015,l2015,wPerc2015,rDif2015,rsPerG2015,raPerG2015,w2016,l2016,wPerc2016,rDif2016,rsPerG2016,raPerG2016,div
Angels,162,85,77,0.525,-14,4.08,4.17,81,81,0.500,0,4.26,4.26,AL West
Astros,162,86,76,0.531,111,4.5,3.81,87,75,0.537,59,4.65,4.28,AL West
Athletics,162,68,94,0.420,-35,4.28,4.5,80,82,0.494,-11,4.24,4.31,AL West
Blue Jays,162,93,69,0.574,221,5.5,4.14,84,78,0.519,32,4.7,4.5,AL East
Braves,162,67,95,0.414,-187,3.54,4.69,68,94,0.420,-114,3.74,4.44,NL East
Brewers,162,68,94,0.420,-82,4.04,4.55,71,91,0.438,-91,4.11,4.67,NL Central
Cardinals,162,100,62,0.617,122,3.99,3.24,85,77,0.525,38,4.22,3.99,NL Central
Cubs,162,97,65,0.599,81,4.25,3.75,95,67,0.586,131,4.59,3.78,NL Central
Diamondbacks,162,79,83,0.488,7,4.44,4.4,80,82,0.494,-5,4.15,4.19,NL West
Dodgers,162,92,70,0.568,72,4.12,3.67,92,70,0.568,99,4.31,3.7,NL West
Giants,162,84,78,0.519,69,4.3,3.87,88,74,0.543,57,4.03,3.67,NL West
Indians,161,81,80,0.503,29,4.16,3.98,86,76,0.531,48,4.39,4.1,AL Central
Mariners,162,76,86,0.469,-70,4.05,4.48,81,81,0.500,5,4.26,4.23,AL West
Marlins,162,71,91,0.438,-65,3.78,4.19,80,82,0.494,-13,4.09,4.17,NL East
Mets,162,90,72,0.556,70,4.22,3.78,89,73,0.549,74,4.24,3.79,NL East
Nationals,162,83,79,0.512,68,4.34,3.92,88,74,0.543,64,4.28,3.88,NL East
Orioles,162,81,81,0.500,20,4.4,4.28,80,82,0.494,-12,4.63,4.7,AL East
Padres,162,74,88,0.457,-81,4.01,4.51,74,88,0.457,-59,3.77,4.13,NL West
Phillies,162,63,99,0.389,-183,3.86,4.99,64,98,0.395,-155,3.69,4.65,NL East
Pirates,162,98,64,0.605,101,4.3,3.68,83,79,0.512,19,4.16,4.05,NL Central
Rangers,162,88,74,0.543,18,4.64,4.52,80,82,0.494,-12,4.49,4.56,AL West
Rays,162,80,82,0.494,2,3.98,3.96,81,81,0.500,1,4.21,4.2,AL East
Red Sox,162,78,84,0.481,-5,4.62,4.65,88,74,0.543,67,4.65,4.23,AL East
Reds,162,64,98,0.395,-114,3.95,4.65,73,89,0.451,-74,4.02,4.48,NL Central
Rockies,162,68,94,0.420,-107,4.55,5.21,74,88,0.457,-71,4.5,4.94,NL West
Royals,162,95,67,0.586,83,4.47,3.96,77,85,0.475,-37,4.27,4.5,AL Central
Tigers,161,74,87,0.460,-114,4.28,4.99,80,82,0.494,-7,4.61,4.65,AL Central
Twins,162,83,79,0.512,-4,4.3,4.32,77,85,0.475,-35,4.44,4.65,AL Central
White Sox,162,76,86,0.469,-79,3.84,4.33,80,82,0.494,-8,4.33,4.38,AL Central
Yankees,162,87,75,0.537,66,4.72,4.31,82,80,0.506,12,4.4,4.32,AL East
